10:38:40.369 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:38:55.613 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:39:10.659 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7701fcc544f26f1b78e3af1ad214e142)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:39:10.865 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:40:33.729 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:40:48.825 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bb4165449e0d16f5dbe4ee1799bea03b)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:40:49.143 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bb4165449e0d16f5dbe4ee1799bea03b)] -> xpath: //span[normalize-space()='Create Memo']]
10:40:50.042 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:41:05.258 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:41:20.302 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bb4165449e0d16f5dbe4ee1799bea03b)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:41:20.497 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:43:55.540 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:44:10.600 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c9ea5d477878d7835cb15e9a1248c70b)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:44:11.047 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c9ea5d477878d7835cb15e9a1248c70b)] -> xpath: //span[normalize-space()='Create Memo']]
10:44:11.958 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:44:27.191 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:44:42.227 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c9ea5d477878d7835cb15e9a1248c70b)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:44:42.421 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:44:57.521 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
10:45:01.908 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c9ea5d477878d7835cb15e9a1248c70b)] -> css selector: .btn.btn-warning.btn-acknowledge]
10:47:05.854 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:47:20.929 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7d09c2f53c3311a2cea67aa6a851eae2)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:47:21.189 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7d09c2f53c3311a2cea67aa6a851eae2)] -> xpath: //span[normalize-space()='Create Memo']]
10:47:22.090 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:47:37.312 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:47:52.390 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7d09c2f53c3311a2cea67aa6a851eae2)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:47:52.592 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:49:54.501 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:50:09.580 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4534a04f3ca308455604d70f194dd397)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:50:10.024 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4534a04f3ca308455604d70f194dd397)] -> xpath: //span[normalize-space()='Create Memo']]
10:50:11.163 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:50:26.353 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:50:41.384 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4534a04f3ca308455604d70f194dd397)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:50:41.562 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:51:33.153 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:51:48.217 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (ab002a2ce87e988d964e09a604397c6d)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:51:48.489 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (ab002a2ce87e988d964e09a604397c6d)] -> xpath: //span[normalize-space()='Create Memo']]
10:51:49.398 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:52:04.635 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:52:19.705 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (ab002a2ce87e988d964e09a604397c6d)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:52:19.878 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:53:30.221 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:53:45.305 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a5c1f9e96ac89cc4f42c933f12deb73b)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
10:53:46.549 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a5c1f9e96ac89cc4f42c933f12deb73b)] -> xpath: //span[normalize-space()='Create Memo']]
10:53:47.775 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:54:02.945 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:54:18.004 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a5c1f9e96ac89cc4f42c933f12deb73b)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
10:54:18.214 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:54:33.288 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
10:54:37.638 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a5c1f9e96ac89cc4f42c933f12deb73b)] -> css selector: .btn.btn-warning.btn-acknowledge]
10:54:37.747 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:54:52.809 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:33:15.153 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:33:30.226 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (004885751c8888e66d1997c6f2e5339e)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
20:33:30.548 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (004885751c8888e66d1997c6f2e5339e)] -> xpath: //span[normalize-space()='Create Memo']]
20:33:31.443 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
