15:44:29.980 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:44:45.608 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (1b7a7c4f0cb2932ac53d6131db658905)] -> xpath: //tbody/tr[1]/td[1]]
15:45:29.057 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:45:44.132 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2f816a94ca04dff4b322e9548892a24)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:45:44.727 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2f816a94ca04dff4b322e9548892a24)] -> xpath: //span[normalize-space()='Create Memo']]
15:45:51.259 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:46:06.337 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:46:22.056 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:46:38.930 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:46:54.064 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2f816a94ca04dff4b322e9548892a24)] -> xpath: //button[normalize-space()='Done']]
15:46:55.263 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:47:10.399 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:47:25.640 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:47:41.184 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2f816a94ca04dff4b322e9548892a24)] -> xpath: //tbody/tr[1]/td[1]]
15:51:32.252 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
