19:03:22.915 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:03:37.981 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7d714fa59c1bdc3bbd6c546f769bae73)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
19:03:38.290 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7d714fa59c1bdc3bbd6c546f769bae73)] -> xpath: //span[normalize-space()='Create Memo']]
19:03:39.179 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:05:04.726 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:05:19.818 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (dc2801989d73cd714a2f128230350282)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
19:05:20.139 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (dc2801989d73cd714a2f128230350282)] -> xpath: //span[normalize-space()='Create Memo']]
19:05:21.034 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:05:36.067 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (dc2801989d73cd714a2f128230350282)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
19:05:36.238 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:05:51.336 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
19:05:55.609 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (dc2801989d73cd714a2f128230350282)] -> css selector: .btn.btn-warning.btn-acknowledge]
19:05:55.718 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:06:04.253 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:09:26.234 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:09:41.288 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c0317e004f7adadfe89940a2ba5fcca6)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
19:09:41.548 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c0317e004f7adadfe89940a2ba5fcca6)] -> xpath: //span[normalize-space()='Create Memo']]
19:09:42.460 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:10:54.717 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:11:09.765 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (757e9f9f2859355f12e6b171d1f8dcb5)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
