11:25:23.353 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:25:38.474 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (25627d8faa33905fa99ef198a06a31e0)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
11:25:38.739 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:25:53.948 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
11:25:54.248 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (25627d8faa33905fa99ef198a06a31e0)] -> css selector: .btn.btn-warning.btn-acknowledge]
11:25:54.511 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:30:00.466 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:30:15.625 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
11:30:16.221 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //span[normalize-space()='Create Memo']]
11:30:17.782 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:30:33.119 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:30:48.456 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:31:03.960 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:31:19.049 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
11:31:19.488 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:31:34.740 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
11:31:35.014 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> css selector: .btn.btn-warning.btn-acknowledge]
11:31:35.183 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:31:54.151 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:32:09.904 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:32:25.001 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //button[normalize-space()='Done']]
11:32:25.400 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //button[normalize-space()='SAVE']]
11:32:26.174 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:32:41.592 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:32:56.940 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:33:13.187 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:33:28.601 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:33:44.181 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:33:59.273 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
11:34:00.797 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:34:15.915 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (69590c389967c948d9c31856b0277cb7)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
14:16:03.447 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:16:18.567 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
14:16:18.926 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //span[normalize-space()='Create Memo']]
14:16:19.715 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:16:34.815 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:16:49.970 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:17:05.238 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:17:20.310 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
14:17:20.476 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:17:35.579 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
14:17:35.714 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> css selector: .btn.btn-warning.btn-acknowledge]
14:17:35.802 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:17:52.523 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:18:08.374 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:18:23.415 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[normalize-space()='Done']]
14:18:23.532 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[normalize-space()='SAVE']]
14:18:24.341 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:18:39.479 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:18:54.588 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:19:09.746 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //button[@type='submit']
14:19:09.778 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[@type='submit']]
14:19:10.451 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/modal-container/div/div/app-memo-submit-confirm/div[3]/div/div[2]/button
14:19:11.088 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:19:27.357 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:19:42.417 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
14:19:43.578 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
14:19:58.650 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (fd32221c79890a65bb41851236f5a503)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:21:39.944 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:21:55.087 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (52900a487661163dc3eafe34a6283069)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:21:55.451 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (52900a487661163dc3eafe34a6283069)] -> xpath: //span[normalize-space()='Create Memo']]
18:21:56.802 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:22:12.066 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:22:27.427 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
