16:37:48.391 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:37:58.460 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (41129c6b7e54b661299ed95733026240)] -> xpath: //button[normalize-space()='Done']]
16:37:59.397 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:38:09.445 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (41129c6b7e54b661299ed95733026240)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr/td[1]/div/input]
16:50:01.689 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:50:11.782 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d3e1c4b1ff3cbe587685376ce5b68c83)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
16:50:11.889 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
16:50:12.239 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:50:23.096 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:53:28.784 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:53:38.846 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (17c1764964e1cdf05541ddfb838ababa)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
16:53:38.957 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
16:56:50.111 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:57:00.210 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6cf5eeb5d603a5dcca89c9f8bfa648a9)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
16:57:00.323 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
17:00:55.471 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
17:01:05.547 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c45f0142b8a1937d9b302f9db7cffacc)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
17:01:05.653 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
17:01:54.605 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
17:02:04.695 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c1235ce4d779953fbbb9638b258b9b56)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
17:02:04.803 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
17:02:05.210 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
17:02:25.479 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
17:02:55.492 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
17:03:05.552 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7036880ef73638766518cd627f62b7e9)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
17:03:05.680 [main] INFO  com.billhub.qa.base.TestBase - clicking on edit draft button.
