13:10:26.073 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
13:10:46.263 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b89d6abecfac9df4344c45b4f7d9061a)] -> xpath: /html/body/modal-container/div/div/app-book-invoice-confirm/div[3]/div/div[2]/button]
13:10:48.981 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element to be clickable: By.xpath: /html/body/modal-container/div/div/app-notify-dialog/div[1]/button
13:10:49.062 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
13:11:09.148 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b89d6abecfac9df4344c45b4f7d9061a)] -> xpath: //*[@id="sidebar"]/div[1]/perfect-scrollbar/div/div[1]/div[2]/ul/li[3]/a]
13:11:09.256 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b89d6abecfac9df4344c45b4f7d9061a)] -> xpath: //a[normalize-space()='Review Invoice Posting']]
13:11:10.029 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/app-root/app-layout/div[1]/main/div/div/app-search-batch/div/div/div[1]/div[2]/div/div/typeahead-container/button/span/strong
15:32:20.650 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:32:40.701 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4841e278048db8a361721a656cad258a)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:32:40.957 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4841e278048db8a361721a656cad258a)] -> xpath: //span[normalize-space()='Create Memo']]
15:32:45.902 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:36:38.763 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:36:58.835 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (44241e771de068147803caf9af70bb06)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:36:59.111 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (44241e771de068147803caf9af70bb06)] -> xpath: //span[normalize-space()='Create Memo']]
15:37:04.188 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:37:24.748 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
