11:47:59.673 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //*[@id="main"]/main/div/div/app-dashboard/div/div[1]/div[2]/button[2]]
11:47:59.965 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //span[normalize-space()='Create Memo']]
11:48:00.846 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:01.603 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:02.196 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
11:48:02.390 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:02.988 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
11:48:07.334 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> css selector: .btn.btn-warning.btn-acknowledge]
11:48:07.427 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:11.163 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:11.243 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:12.094 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:48:12.674 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='Done']]
11:48:12.783 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='SAVE']]
