18:57:04.170 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:57:19.243 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:57:19.584 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //span[normalize-space()='Create Memo']]
18:57:20.444 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:57:35.567 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:57:50.682 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:58:05.970 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:58:21.035 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
18:58:21.312 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:58:36.367 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
18:58:36.496 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> css selector: .btn.btn-warning.btn-acknowledge]
18:58:36.588 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:58:51.662 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:59:06.818 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:59:22.206 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:59:37.265 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //button[normalize-space()='Done']]
18:59:37.387 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //button[normalize-space()='SAVE']]
18:59:38.177 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:59:53.287 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:00:08.646 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:00:23.695 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //button[normalize-space()='Done']]
19:00:23.876 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9c5714ccf31eb31af01bdcc04302135d)] -> xpath: //button[normalize-space()='SAVE']]
