19:04:45.225 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:05:15.341 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-primary ng-star-inserted']'
19:14:14.648 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:14:29.803 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d356d2f9f865d111da76e5ba7739b4f7)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
19:14:30.396 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d356d2f9f865d111da76e5ba7739b4f7)] -> xpath: //span[normalize-space()='Create Memo']]
19:14:37.320 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:14:53.048 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:15:09.054 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:15:25.475 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:15:40.563 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:15:56.381 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d356d2f9f865d111da76e5ba7739b4f7)] -> xpath: //button[normalize-space()='SAVE']]
19:15:56.512 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:16:11.657 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Invoice created successfully.
19:16:26.730 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - Invoice created successfully.
19:16:26.783 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:16:42.105 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:16:58.898 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:17:13.992 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d356d2f9f865d111da76e5ba7739b4f7)] -> xpath: //button[normalize-space()='Done']]
19:17:15.492 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
19:17:30.845 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
