18:00:43.583 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:04:20.113 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:04:35.187 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (df48e7f194e6d51ad0ddc6e7b913f6f8)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:04:35.508 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (df48e7f194e6d51ad0ddc6e7b913f6f8)] -> xpath: //span[normalize-space()='Create Memo']]
18:04:36.414 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:04:51.453 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (df48e7f194e6d51ad0ddc6e7b913f6f8)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
18:04:51.625 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:05:06.713 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
18:05:11.049 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (df48e7f194e6d51ad0ddc6e7b913f6f8)] -> css selector: .btn.btn-warning.btn-acknowledge]
18:05:11.160 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:07:11.685 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:07:26.748 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6ce80846847d260e8e0c64e9fdade611)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:07:27.071 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6ce80846847d260e8e0c64e9fdade611)] -> xpath: //span[normalize-space()='Create Memo']]
18:07:27.975 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:07:43.015 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6ce80846847d260e8e0c64e9fdade611)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
18:07:43.179 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:07:58.273 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
18:08:02.551 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6ce80846847d260e8e0c64e9fdade611)] -> css selector: .btn.btn-warning.btn-acknowledge]
18:08:02.653 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:14:05.795 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:14:20.849 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (f400d95db2b1759307fe406e3c2ecd34)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:14:21.117 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (f400d95db2b1759307fe406e3c2ecd34)] -> xpath: //span[normalize-space()='Create Memo']]
18:14:22.019 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:14:37.093 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (f400d95db2b1759307fe406e3c2ecd34)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
18:14:37.259 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:14:52.336 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
18:14:56.709 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (f400d95db2b1759307fe406e3c2ecd34)] -> css selector: .btn.btn-warning.btn-acknowledge]
18:14:56.805 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:20:51.186 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:21:06.285 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (0937a674565ad6231410bc42f536c179)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:21:06.605 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (0937a674565ad6231410bc42f536c179)] -> xpath: //span[normalize-space()='Create Memo']]
18:21:07.489 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:21:22.565 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (0937a674565ad6231410bc42f536c179)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
18:21:22.737 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:21:37.819 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
18:21:42.117 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (0937a674565ad6231410bc42f536c179)] -> css selector: .btn.btn-warning.btn-acknowledge]
18:21:42.217 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:48:20.100 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:48:35.146 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aa6bfadf0a5a386e8cb667cf2bb551b0)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:48:35.467 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aa6bfadf0a5a386e8cb667cf2bb551b0)] -> xpath: //span[normalize-space()='Create Memo']]
18:48:36.346 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:50:55.759 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:51:10.822 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a12c89caecf73582a163cef78b724746)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
18:51:11.162 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a12c89caecf73582a163cef78b724746)] -> xpath: //span[normalize-space()='Create Memo']]
18:51:12.076 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:51:27.133 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a12c89caecf73582a163cef78b724746)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[3]/td[1]/div/input]
18:51:27.305 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
18:51:42.399 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
