20:21:30.740 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:21:45.952 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:22:00.993 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c87eb11c491f201464e29b7586553c6f)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
20:22:01.170 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:22:16.359 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
20:22:16.395 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c87eb11c491f201464e29b7586553c6f)] -> css selector: .btn.btn-warning.btn-acknowledge]
20:22:16.466 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:22:31.622 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:22:46.653 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c87eb11c491f201464e29b7586553c6f)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
11:15:22.666 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:15:37.806 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (8e40c881c2db7d3ca72a790da5abe874)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
11:15:38.178 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (8e40c881c2db7d3ca72a790da5abe874)] -> xpath: //span[normalize-space()='Create Memo']]
11:15:39.554 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:15:54.803 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:16:10.034 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:16:25.582 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:16:40.663 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (8e40c881c2db7d3ca72a790da5abe874)] -> xpath: //body[1]/modal-container[1]/div[1]/div[1]/app-add-lr-popup[1]/div[2]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]]
11:16:41.183 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:16:56.368 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
11:16:56.610 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (8e40c881c2db7d3ca72a790da5abe874)] -> css selector: .btn.btn-warning.btn-acknowledge]
11:16:56.755 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:17:46.035 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:18:01.136 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (73636f33c618519e203799b3827679b0)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
11:18:01.558 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (73636f33c618519e203799b3827679b0)] -> xpath: //span[normalize-space()='Create Memo']]
11:18:03.012 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:18:18.256 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:18:33.518 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:18:49.294 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
