20:41:18.172 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:41:33.319 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:41:48.379 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:42:03.802 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:42:18.952 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Invoice verified and simulate successfully
20:42:34.020 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - Invoice verified and simulate successfully
20:42:34.207 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:44:52.001 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:45:07.065 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (3ebc520d0d7eeb14c6b1e37dd6aea87d)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
20:45:07.385 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (3ebc520d0d7eeb14c6b1e37dd6aea87d)] -> xpath: //span[normalize-space()='Create Memo']]
20:45:11.610 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:45:26.859 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:45:42.604 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:46:04.436 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:46:19.532 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6728d99e81f32b8c0b533ef31bb6895e)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
20:46:20.595 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (6728d99e81f32b8c0b533ef31bb6895e)] -> xpath: //span[normalize-space()='Create Memo']]
20:46:24.825 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:46:40.073 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:46:55.811 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:47:08.720 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:47:23.785 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7565f0800b996bac1e258a158f3cf1cb)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
20:47:24.092 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7565f0800b996bac1e258a158f3cf1cb)] -> xpath: //span[normalize-space()='Create Memo']]
20:47:28.350 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:47:43.590 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:47:59.328 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
20:48:14.598 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
