11:32:49.170 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
11:32:50.096 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: customer Added successfully
11:39:34.661 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:39:49.714 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4a4ac280bf7f672ed597c2bfdfb637f2)] -> xpath: //button[@class='btn btn-link']]
11:39:49.811 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4a4ac280bf7f672ed597c2bfdfb637f2)] -> xpath: //span[normalize-space()='Master']]
11:39:50.558 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (4a4ac280bf7f672ed597c2bfdfb637f2)] -> link text: Customer]
11:40:39.821 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:40:54.879 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (371c5c0fe79d0fea3fcecc1b693cb385)] -> xpath: //button[@class='btn btn-link']]
11:40:54.976 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (371c5c0fe79d0fea3fcecc1b693cb385)] -> xpath: //span[normalize-space()='Master']]
11:40:55.641 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (371c5c0fe79d0fea3fcecc1b693cb385)] -> link text: Customer]
11:40:56.927 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
11:40:57.848 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: customer Added successfully
11:40:59.084 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
11:41:01.774 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Kindly fill out all the mandatory fields
11:41:16.817 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - Kindly fill out all the mandatory fields
11:41:16.821 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
11:41:17.360 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: customer Added successfully
11:41:32.416 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - customer Added successfully
11:43:00.639 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
11:43:15.686 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bdbd8a4dc661c31fafd23f9d76951bdd)] -> xpath: //button[@class='btn btn-link']]
11:43:15.782 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bdbd8a4dc661c31fafd23f9d76951bdd)] -> xpath: //span[normalize-space()='Master']]
11:43:16.506 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (bdbd8a4dc661c31fafd23f9d76951bdd)] -> link text: Withholding Tax]
